"","AREA TERRITORIAL","CODIGO CENTRO","TIPO DE CENTRO","CENTRO","DOMICILIO","MUNICIPIO","DISTRITO MUNICIPAL","COD. POSTAL","TELEFONO","FAX","TITULARIDAD","NA","NA","ADDRESS","lon","lat","geoAddress"
"28","Madrid-Sur","28042036","IES","GABRIEL GARCIA MARQUEZ","Calle Beatriz Galindo, 6 ","Leganés","-","28914","914811290","916800590","Público",NA,NA,"Calle Beatriz Galindo, 6  Leganés",-3.7521584,40.3275094,"calle beatriz galindo, 6, 28914 leganés, madrid, spain"
"29","Madrid-Norte","28028611","IES","GONZALO TORRENTE BALLESTER","Avenida De Aragón, 12 ","San Sebastián de los Reyes","-","28702","916526533","916522071","Público",NA,NA,"Avenida De Aragón, 12  San Sebastián de los Reyes",-3.6301124,40.5597723,"av. de aragón, 12, 28702 san sebastián de los reyes, madrid, spain"
"30","Madrid-Capital","28020119","IES","GREGORIO MARAÑON","Avenida De El Ferrol, 43 ","Madrid","Fuencarral-El Pardo","28029","917310421","917380949","Público",NA,NA,"Avenida De El Ferrol, 43  Madrid",-3.7100893,40.4743129,"av. el ferrol, 43, 28029 madrid, spain"
"31","Madrid-Norte","28040672","IES","GUSTAVO ADOLFO BECQUER","Avenida De Europa, S/n ","Algete","-","28110","916291601","916281489","Público",NA,NA,"Avenida De Europa, S/n  Algete",-3.510514,40.6003012,"avenida de europa, s/n, algete, madrid, spain"
"32","Madrid-Sur","28030216","IES","HUMANEJOS","Avenida Juan Carlos I, 19 ","Parla","-","28981","916982906","916982860","Público",NA,NA,"Avenida Juan Carlos I, 19  Parla",-3.769861,40.2297314,"av. juan carlos i, 19, 28981 parla, madrid, spain"
"33","Madrid-Este","28038835","IES","ISIDRA DE GUZMÁN","Calle Gardenia, 29 ","Alcalá de Henares","-","28803","918808462","918887926","Público",NA,NA,"Calle Gardenia, 29  Alcalá de Henares",-3.3718519,40.4735723,"calle gardenia, 29, 28803 alcalá de henares, madrid, spain"
"34","Madrid-Capital","28040741","IES","ITURRALDE","Calle De Nuestra Señora De La Luz, 53 ","Madrid","Latina","28047","914626822","914627744","Público",NA,NA,"Calle De Nuestra Señora De La Luz, 53  Madrid",-3.751722,40.3859848,"calle de ntra. sra. de la luz, 53, 28047 madrid, spain"
"35","Madrid-Oeste","28002415","IES","JAIME FERRAN","Calle Matalpino, 22 ","Collado Villalba","-","28400","918501571","918508523","Público",NA,NA,"Calle Matalpino, 22  Collado Villalba",-4.0023999,40.6381408,"calle matalpino, 22, 28400 collado villalba, madrid, spain"
"36","Madrid-Este","28038616","IES","JAIME FERRÁN CLÚA","Avenida Jean Paul Sartre, S/n ","San Fernando de Henares","-","28830","916723539","916698517","Público",NA,NA,"Avenida Jean Paul Sartre, S/n  San Fernando de Henares",-3.5212891,40.414858,"calle jean-paul sartre, 28830 san fernando de henares, madrid, spain"
"37","Madrid-Sur","28042048","IES","JOAQUIN ARAUJO","Calle De La Fuente, 36 ","Fuenlabrada","-","28944","916000315","917031884","Público",NA,NA,"Calle De La Fuente, 36  Fuenlabrada",-3.7882338,40.2780627,"calle de la fuente, 36, 28944 fuenlabrada, madrid, spain"
"38","Madrid-Sur","28074037","IES","JORGE GUILLEN","Calle Olimpico Fernandez Ochoa, S/n ","Alcorcón","-","28923","916415711","916442924","Público",NA,NA,"Calle Olimpico Fernandez Ochoa, S/n  Alcorcón",-3.8164327,40.3410968,"calle olímpico francisco fernández ochoa, 28923 alcorcón, madrid, spain"
"39","Madrid-Sur","28003882","IES","JOSE DE CHURRIGUERA","Calle Constitución De Cádiz, 1 ","Leganés","-","28914","916946011","916938962","Público",NA,NA,"Calle Constitución De Cádiz, 1  Leganés",-3.7622716,40.3232326,"calle constitución de cádiz, 1, 28914 leganés, madrid, spain"
"40","Madrid-Sur","28040696","IES","JOSÉ HIERRO","Avenida De Juan Carlos I, 9 ","Getafe","-","28905","916821213","916810373","Público",NA,NA,"Avenida De Juan Carlos I, 9  Getafe",-3.7519266,40.2907103,"av. juan carlos i, 9, 28905 getafe, madrid, spain"
"41","Madrid-Norte","28035317","IES","JOSE LUIS SAMPEDRO","Avenida De La Vega, S/n ","Tres Cantos","-","28760","918031142","918034126","Público",NA,NA,"Avenida De La Vega, S/n  Tres Cantos",-3.7095592,40.6078657,"av. de la vega, 28760 tres cantos, madrid, spain"
"42","Madrid-Sur","28039700","IES","JOSEFINA ALDECOA","Calle De Sahagún, S/n ","Alcorcón","-","28925","916125261","916125361","Público",NA,NA,"Calle De Sahagún, S/n  Alcorcón",-3.8179171,40.3563415,"calle sahagún, alcorcón, madrid, spain"
"43","Madrid-Sur","28039797","IES","JULIO CARO BAROJA","Calle De La Habana, 2 ","Fuenlabrada","-","28945","916060313","916159910","Público",NA,NA,"Calle De La Habana, 2  Fuenlabrada",-3.7866316,40.2875229,"calle de la habana, 2, 28945 fuenlabrada, madrid, spain"
"44","Madrid-Sur","28041482","IES","LA LAGUNA","Camino Del Salmoral, S/n ","Parla","-","28981","916051520","916051862","Público",NA,NA,"Camino Del Salmoral, S/n  Parla",-5.2194903,40.8011249,"37314 salmoral, salamanca, spain"
"45","Madrid-Sur","28072107","IES","LA SENDA","Senda De Mafalda, 2 ","Getafe","-","28905","916810212","916823884","Público",NA,NA,"Senda De Mafalda, 2  Getafe",-3.74722,40.29514,"senda de mafalda, 2, 28905 getafe, madrid, spain"
"46","Madrid-Oeste","28028571","IES","LAS ROZAS I","Calle Real, 52 ","Rozas de Madrid, Las","-","28231","916374006","916374323","Público",NA,NA,"Calle Real, 52  Rozas de Madrid, Las",-3.8685597,40.4899583,"calle real, 52, 28231 las rozas, madrid, spain"
"47","Madrid-Este","28030228","IES","LEON FELIPE","Calle San Fernando, S/n ","Torrejón de Ardoz","-","28850","916768112","916765566","Público",NA,NA,"Calle San Fernando, S/n  Torrejón de Ardoz",-3.4887685,40.4614336,"calle de san fernando, torrejón de ardoz, madrid, spain"
"48","Madrid-Sur","28026092","IES","LOS CASTILLOS","Avenida De Los Castillos, 5 ","Alcorcón","-","28925","916121063","916119451","Público",NA,NA,"Avenida De Los Castillos, 5  Alcorcón",-3.80918,40.356824,"av. los castillos, 5, alcorcón, madrid, spain"
"49","Madrid-Norte","28064044","IES","LUIS GARCIA BERLANGA","Camino De Chozas, S/n ","Guadalix de la Sierra","-","28794","918470636","918470520","Público",NA,NA,"Camino De Chozas, S/n  Guadalix de la Sierra",-3.701946,40.7802763,"camino de chozas, 28794 guadalix de la sierra, madrid, spain"
"50","Madrid-Sur","28003900","IES","MARIA ZAMBRANO","Calle Alpujarras, 52 ","Leganés","-","28915","916880222","916804235","Público",NA,NA,"Calle Alpujarras, 52  Leganés",-3.7472561,40.3305007,"calle de las alpujarras, 52, 28915 leganés, madrid, spain"
"51","Madrid-Sur","28074669","IES","MENENDEZ PELAYO","Avenida De Las Ciudades, S/n ","Getafe","-","28903","916821511","916817291","Público",NA,NA,"Avenida De Las Ciudades, S/n  Getafe",-3.7216926,40.3172239,"av. de las ciudades, getafe, madrid, spain"
"52","Madrid-Este","28002580","IES","MIGUEL CATALAN","Avenida De José Gárate, S/n ","Coslada","-","28823","916727142","916727111","Público",NA,NA,"Avenida De José Gárate, S/n  Coslada",-3.5462832,40.4296435,"av. de josé gárate, 28823 coslada, madrid, spain"
"53","Madrid-Este","28041445","IES","MIGUEL DELIBES","Avenida De Juan Gris, 44 ","Mejorada del Campo","-","28840","916680143","916681443","Público",NA,NA,"Avenida De Juan Gris, 44  Mejorada del Campo",-3.4845158,40.390664,"av. juan gris, 44, 28840 mejorada del campo, madrid, spain"
"54","Madrid-Sur","28042097","IES","MIGUEL HERNÁNDEZ","Avenida De Carlos V, 1 ","Móstoles","-","28936","916468193","916466051","Público",NA,NA,"Avenida De Carlos V, 1  Móstoles",-3.8500077,40.323981,"av. carlos v, 1, 28936 móstoles, madrid, spain"
"55","Madrid-Sur","28038446","IES","NARCIS MONTURIOL","Calle Leganés, 38 ","Parla","-","28981","916982811","916981510","Público",NA,NA,"Calle Leganés, 38  Parla",-3.7761461,40.2435087,"calle leganés, 38, 28981 parla, madrid, spain"
"56","Madrid-Sur","28074062","IES","NEIL ARMSTRONG","Ronda San Sebastian, 10 ","Valdemoro","-","28341","639314247","918019537","Público",NA,NA,"Ronda San Sebastian, 10  Valdemoro",-5.1612251,36.746209,"29400 ronda, málaga, spain"
"57","Madrid-Sur","28070974","IES","NICOLAS COPERNICO","Avenida Del Sistema Solar, 8 ","Parla","-","28983","918295357","918295364","Público",NA,NA,"Avenida Del Sistema Solar, 8  Parla",-3.7619038,40.2282369,"av. del sistema solar, 8, 28983 parla, madrid, spain"
"58","Madrid-Capital","28058603","IES","NUMANCIA","Calle De Las Marismas, 14 ","Madrid","Puente de Vallecas","28038","915015001","915014989","Público",NA,NA,"Calle De Las Marismas, 14  Madrid",-3.6544713,40.4022085,"calle de las marismas, 14, 28038 madrid, spain"
"59","Madrid-Capital","28018381","IES","ORTEGA Y GASSET","Calle Santa Fe, 4 ","Madrid","Moncloa-Aravaca","28008","915476635","915413941","Público",NA,NA,"Calle Santa Fe, 4  Madrid",-3.7357291,40.4316436,"calle sta. fe, 4, 28008 madrid, spain"
"60","Madrid-Capital","28074244","IES","PEDRO SALINAS","Calle Del General Marvá, 24-26 ","Madrid","Usera","28026","915699236","915699235","Público",NA,NA,"Calle Del General Marvá, 24-26  Madrid",-3.7087795,40.388762,"calle gral. marva, 24, 28026 madrid, spain"
"61","Madrid-Norte","28042103","IES","PINTOR ANTONIO LOPEZ","Calle Del Orégano, 1 ","Tres Cantos","-","28760","918039102","918030328","Público",NA,NA,"Calle Del Orégano, 1  Tres Cantos",-3.7024583,40.6024173,"calle del orégano, 1, 28760 tres cantos, madrid, spain"
"62","Madrid-Sur","28030241","IES","PRADO DE SANTO DOMINGO","Avenida Esteban Marquez, 3 ","Alcorcón","-","28922","916439100","916432363","Público",NA,NA,"Avenida Esteban Marquez, 3  Alcorcón",-3.8405003,40.3402665,"av. de esteban márquez, 3, 28922 alcorcón, madrid, spain"
"63","Madrid-Este","28050732","IES","PROFESOR JULIO PEREZ","Avenida De Levante, 141 ","Rivas-Vaciamadrid","-","28521","916704112","916704113","Público",NA,NA,"Avenida De Levante, 141  Rivas-Vaciamadrid",-3.51411,40.33227,"av. de levante, 141, 28521 rivas-vaciamadrid, madrid, spain"
"64","Madrid-Capital","28030150","IES","RAMON Y CAJAL","Avenida De Manoteras, 55 ","Madrid","Hortaleza","28050","917660911","917665080","Público",NA,NA,"Avenida De Manoteras, 55  Madrid",-3.6600662,40.4876393,"av. de manoteras, 55, 28050 madrid, spain"
"65","Madrid-Capital","28020624","IES","REY PASTOR","Calle Del Corregidor José De Pasamonte, 17 ","Madrid","Moratalaz","28030","914392661","914371764","Público",NA,NA,"Calle Del Corregidor José De Pasamonte, 17  Madrid",-3.6480721,40.4106658,"calle del corregidor josé de pasamonte, 17, 28030 madrid, spain"
"66","Madrid-Norte","28042981","IES","ROSA CHACEL","Calle De Las Huertas, 68 ","Colmenar Viejo","-","28770","918464801","918463646","Público",NA,NA,"Calle De Las Huertas, 68  Colmenar Viejo",-3.7652147,40.6556449,"calle de las huertas, 68, 28770 colmenar viejo, madrid, spain"
"67","Madrid-Sur","28039803","IES","SALVADOR ALLENDE","Calle De Andalucía, 12 ","Fuenlabrada","-","28941","916977213","916098879","Público",NA,NA,"Calle De Andalucía, 12  Fuenlabrada",-3.7973737,40.2893557,"calle de andalucía, 12, 28941 fuenlabrada, madrid, spain"
"68","Madrid-Sur","28038291","IES","SALVADOR DALI","Calle Austria, 7 ","Leganés","-","28916","916862999","916802709","Público",NA,NA,"Calle Austria, 7  Leganés",-3.7427004,40.3370686,"calle de austria, 7, 28916 leganés, madrid, spain"
"69","Madrid-Capital","28034441","IES","SAN ISIDORO DE SEVILLA","Plaza Del Marqués De Comillas, 1 ","Madrid","Chamberí","28040","915330607","915330337","Público",NA,NA,"Plaza Del Marqués De Comillas, 1  Madrid",-3.7195125,40.4453866,"plaza marqués de comillas, 28040 madrid, spain"
"70","Madrid-Sur","28062011","IES","SANTIAGO RUSIÑOL","Calle Alhambra De Granada ","Aranjuez","-","28300","918090245","918754642","Público",NA,NA,"Calle Alhambra De Granada  Aranjuez",-3.584331,40.0328849,"calle alhambra de granada, 28300 aranjuez, madrid, spain"
"71","Madrid-Oeste","28050562","IES","SAPERE AUDE","Avenida De Los Estudiantes, 4 ","Villanueva del Pardillo","-","28229","918151519","918151764","Público",NA,NA,"Avenida De Los Estudiantes, 4  Villanueva del Pardillo",-3.9723585,40.4822207,"av. de los estudiantes, 4, 28229 villanueva del pardillo, madrid, spain"
"72","Madrid-Sur","28041615","IES","SATAFI","Avenida De Las Ciudades, 104 ","Getafe","-","28903","916830601","916817173","Público",NA,NA,"Avenida De Las Ciudades, 104  Getafe",-3.7128114,40.3123691,"av. de las ciudades, 104, 28903 getafe, madrid, spain"
"73","Madrid-Este","28042681","IES","VALLE INCLAN","Calle Juncal, 14 ","Torrejón de Ardoz","-","28850","916773057","916774289","Público",NA,NA,"Calle Juncal, 14  Torrejón de Ardoz",-3.4583598,40.4627652,"calle juncal, 14, 28850 torrejón de ardoz, madrid, spain"
"74","Madrid-Sur","28042991","IES","VICTORIA KENT","Camino Polvoranca, S/n ","Fuenlabrada","-","28942","916084625","916490013","Público",NA,NA,"Camino Polvoranca, S/n  Fuenlabrada",-3.7793106,40.3258248,"calle cmo de polvoranca, 28914, madrid, spain"
"75","Madrid-Capital","28063799","CP INF-PRI-SEC","ADOLFO SUAREZ","Calle De La Infanta Catalina Micaela, 31 ","Madrid","Hortaleza","28050","917502058","917189274","Público",NA,NA,"Calle De La Infanta Catalina Micaela, 31  Madrid",-3.652977,40.4890146,"calle de la infanta catalina micaela, 31, 28050 madrid, spain"
"76","Madrid-Este","28070721","CP INF-PRI-SEC","BEETHOVEN","Calle Montserrat Roig, 8 ","Torrejón de Ardoz","-","28850","914885016","914886550","Público",NA,NA,"Calle Montserrat Roig, 8  Torrejón de Ardoz",-3.4399384,40.4564645,"calle montserrat roig, 8, 28850 torrejón de ardoz, madrid, spain"
"77","Madrid-Oeste","28060348","CP INF-PRI-SEC","EL CANTIZAL","Avenida De Atenas, S/n ","Rozas de Madrid, Las","-","28232","916030099","916317527","Público",NA,NA,"Avenida De Atenas, S/n  Rozas de Madrid, Las",-3.9088145,40.5314832,"av. de atenas, las rozas, madrid, spain"
"78","Madrid-Oeste","28057076","CP INF-PRI-SEC","EL ENCINAR","Calle Ribadesella, S/n ","Torrelodones","-","28250","918593112","918592885","Público",NA,NA,"Calle Ribadesella, S/n  Torrelodones",-3.92732,40.5717399,"calle ribadesella, 28250 torrelodones, madrid, spain"
"79","Madrid-Sur","28070691","CP INF-PRI-SEC","MAESTRO RODRIGO","Avenida Memorial De La Paz De Hiroshima, S/n ","Aranjuez","-","28300","918927841","918928169","Público",NA,NA,"Avenida Memorial De La Paz De Hiroshima, S/n  Aranjuez",-3.5975431,40.0657661,"av. memorial de la paz de hiroshima, 28300, madrid, spain"
"80","Madrid-Oeste","28057088","CP INF-PRI-SEC","MARIA MOLINER","Avenida Rioja, 14 ","Villanueva de la Cañada","-","28691","918155505","918106692","Público",NA,NA,"Avenida Rioja, 14  Villanueva de la Cañada",-3.9984041,40.4379636,"av. de la rioja, 14, 28691 villanueva de la cañada, madrid, spain"
"81","Madrid-Norte","28002853","CP INF-PRI-SEC","MARTINA GARCIA","Avenida Julián Sánchez, 17 ","Fuente el Saz de Jarama","-","28140","916200825","916224053","Público",NA,NA,"Avenida Julián Sánchez, 17  Fuente el Saz de Jarama",-3.5155931,40.6296617,"av. julián sánchez, 17, 28140 fuente el saz de jarama, madrid, spain"
"82","Madrid-Oeste","28001848","CP INF-PRI-SEC","PRINCIPE DON FELIPE","Calle De José Antonio, 48 ","Boadilla del Monte","-","28660","916331626","916331954","Público",NA,NA,"Calle De José Antonio, 48  Boadilla del Monte",-3.8800677,40.4079207,"calle juan carlos i, 48, 28660 boadilla del monte, madrid, spain"
"83","Madrid-Oeste","28064160","CP INF-PRI-SEC","PRINCIPES DE ASTURIAS","Calle Atlántico Del Paular, 8 ","Pozuelo de Alarcón","-","28224","917140919","913515144","Público",NA,NA,"Calle Atlántico Del Paular, 8  Pozuelo de Alarcón",-3.8088429,40.4555644,"calle atlántico, 8, 28224 pozuelo de alarcón, madrid, spain"
"84","Madrid-Sur","28060270","CP INF-PRI-SEC","SALVADOR DALI","Calle De La Tia Javiera, S/n ","Fuenlabrada","-","28942","916046230","916047303","Público",NA,NA,"Calle De La Tia Javiera, S/n  Fuenlabrada",-3.8388461,40.3045166,"calle tía javiera, 28942 fuenlabrada, madrid, spain"
"85","Madrid-Sur","28038562","CPR INF-PRI-SEC","ALKOR","Avenida De Pablo Iglesias, S/n ","Alcorcón","-","28922","916437173","-","Privado Concertado",NA,NA,"Avenida De Pablo Iglesias, S/n  Alcorcón",-3.8405475,40.340986,"av. pablo iglesias, 28922 alcorcón, madrid, spain"
"86","Madrid-Sur","28038598","CPR INF-PRI-SEC","ALTAMIRA","Calle Gerona, 4 ","Fuenlabrada","-","28945","916155866","916972137","Privado Concertado",NA,NA,"Calle Gerona, 4  Fuenlabrada",-3.7910594,40.2951795,"calle de gerona, 4, 28945 fuenlabrada, madrid, spain"
"87","Madrid-Capital","28011258","CPR INF-PRI-SEC","AMOR MISERICORDIOSO","Paseo De San Francisco De Sales, 42 ","Madrid","Chamberí","28003","915332233","915332507","Privado Concertado",NA,NA,"Paseo De San Francisco De Sales, 42  Madrid",-3.7119193,40.4426298,"paseo de s. fco. de sales, 42, 28003 madrid, spain"
"88","Madrid-Capital","28011261","CPR INF-PRI-SEC","AMOROS","Calle De Gómez De Arteche, 28 ","Madrid","Carabanchel","28044","915111130","915083064","Privado Concertado",NA,NA,"Calle De Gómez De Arteche, 28  Madrid",-3.7558971,40.369196,"calle gómez de arteche, 28, 28044 madrid, spain"
"89","Madrid-Oeste","28044331","CPR INF-PRI-SEC","ARCADIA","Calle Cetrería, 2 ","Villanueva de la Cañada","-","28690","918162322","918162376","Privado Concertado",NA,NA,"Calle Cetrería, 2  Villanueva de la Cañada",-3.9728031,40.4221738,"calle cetrería, 2, 28691 villanueva de la cañada, madrid, spain"
"90","Madrid-Capital","28015094","CPR INF-PRI-SEC","CENTRO CULTURAL ELFO","Calle Del Elfo, 74 ","Madrid","Ciudad Lineal","28027","913673653","914081287","Privado Concertado",NA,NA,"Calle Del Elfo, 74  Madrid",-3.6488387,40.4341406,"calle de elfo, 74, 28027 madrid, spain"
"91","Madrid-Capital","28019142","CPR INF-PRI-SEC","CENTRO CULTURAL PALOMERAS","Calle De Luis Marín, S/n ","Madrid","Puente de Vallecas","28038","917863865","917863865","Privado Concertado",NA,NA,"Calle De Luis Marín, S/n  Madrid",-3.639292,40.392111,"calle luis marín, 28038 madrid, spain"
"92","Madrid-Capital","28020120","CPR INF-PRI-SEC","CHAMBERI","Calle De Rafael Calvo, 12 ","Madrid","Chamberí","28010","914456250","914440340","Privado Concertado",NA,NA,"Calle De Rafael Calvo, 12  Madrid",-3.6957256,40.4336686,"calle rafael calvo, 12, 28010 madrid, spain"
"93","Madrid-Capital","28015148","CPR INF-PRI-SEC","CLARET","Calle De Corazón De María, 1 ","Madrid","Chamartín","28002","914152154","914167092","Privado Concertado",NA,NA,"Calle De Corazón De María, 1  Madrid",-3.672113,40.4403979,"calle del corazón de maría, 1, 28002 madrid, spain"
"94","Madrid-Sur","28072168","CPR INF-PRI-SEC","COLEGIO AQUILA","Calle Planeta Júpiter, 2 ","Parla","-","28983","914240913","914241464","Privado Concertado",NA,NA,"Calle Planeta Júpiter, 2  Parla",-3.7599362,40.2190175,"calle del planeta júpiter, 2, 28983 parla, madrid, spain"
